"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"WormBase.Gene.ID"	"Public.Name"	"Sequence.Name"	"Other.Name"	"Protein.Domain"	"UniProt"	"Reference.UniProt.ID"	"Interacting.Gene"	"Expr_pattern.Tissue"	"Gene.Ontology.Association"	"Concise.Description"	"Automated.Description"
"CELE_F56A4.3"	53,0331239889572	8,10529789841531	1,23070883086118	6,58587774392068	4,5220581656192e-11	1,10175707775781e-08	"WBGene00018911"	"F56A4.3"	"F56A4.3"	"CELE_F56A4.3"	"CE30150|HMMPANTHER:PTHR11571:SF120|HMMPANTHER:PTHR11571|PFSCAN:PS50404|PFAM:PF02798|SUPERFAMILY:SSF52833|INTERPRO:IPR004045|INTERPRO:IPR036249, CE53093|HMMPANTHER:PTHR11571|HMMPANTHER:PTHR11571:SF120|PFSCAN:PS50404|PFAM:PF02798|SUPERFAMILY:SSF52833|INTERPRO:IPR004045|INTERPRO:IPR036249"	"A0A486WUX8, Q9N5R3"	"A0A486WUX8"	"daf-10|Regulatory, dlg-1|Physical"	"N.A."	"cytosol, glutathione metabolic process, glutathione transferase activity"	"N.A."	"Is predicted to enable glutathione transferase activity. Human ortholog(s) of this gene are implicated in several diseases, including Alzheimer's disease\; autoimmune disease (multiple)\; carcinoma (multiple)\; and hematologic cancer (multiple). Is an ortholog of human GSTP1 (glutathione S-transferase pi 1)."
"CELE_F26D10.13"	19,2418332231868	7,60849300761536	1,88601856496555	4,03415594573128	5,47989172889156e-05	0,00162758003292583	"WBGene00044244"	"F26D10.13"	"F26D10.13"	"CELE_F26D10.13"	"N.A."	"Q564W9"	"Q564W9"	"N.A."	"N.A."	"N.A."	"N.A."	"Is enriched in male based on RNA-seq studies. Is affected by several genes including rrf-3\; daf-12\; and eat-2 based on tiling array\; microarray\; and RNA-seq studies. Is affected by five chemicals including allantoin\; Sirolimus\; and metformin based on RNA-seq studies."
"CELE_H14A12.7"	16,4851224205745	7,38519192204546	1,94775058592775	3,79165175223283	0,000149648662089504	0,00353021420266511	"WBGene00044450"	"fipr-18"	"H14A12.7"	"CELE_H14A12.7"	"CE38839|HMMPANTHER:PTHR39380:SF2|HMMPANTHER:PTHR39380|PFAM:PF10917|INTERPRO:IPR024415"	"Q4R136"	"Q4R136"	"let-23|Genetic, let-756|Genetic"	"N.A."	"N.A."	"N.A."	"Is enriched in male based on RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and sma-2 based on tiling array\; RNA-seq\; and microarray studies. Is affected by eight chemicals including Tunicamycin\; Alovudine\; and stavudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Fungus-induced protein and Fungus-induced protein."
"CELE_F35D11.8"	30,8250478987955	7,31891543173408	3,03668043645404	2,41016978404236	0,0159450982781145	0,0952586694852106	"WBGene00018048"	"clec-137"	"F35D11.8"	"CELE_F35D11.8"	"CE02721|SUPERFAMILY:SSF56436|INTERPRO:IPR016187"	"Q20037"	"Q20037"	"N.A."	"vas deferens"	"carbohydrate binding"	"N.A."	"Is predicted to enable carbohydrate binding activity. Is expressed in vas deferens."
"CELE_Y47D7A.7"	15,2445837684082	7,27216220494449	1,91738841678815	3,7927433697165	0,000148992111844657	0,00352005151514202	"WBGene00021620"	"Y47D7A.7"	"Y47D7A.7"	"Y47D7A.h, Y47D7A.h, CELE_Y47D7A.7"	"CE24348|HMMPANTHER:PTHR35575:SF1|HMMPANTHER:PTHR35575"	"Q9N3V1"	"Q9N3V1"	"N.A."	"N.A."	"N.A."	"N.A."	"Is affected by several genes including daf-2\; rrf-3\; and daf-12 based on microarray and RNA-seq studies. Is affected by eight chemicals including methylmercury hydroxide\; multi-walled carbon nanotube\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: ."
"CELE_Y47D7A.11"	25,909736128116	7,06508950155084	1,70744785495551	4,13780689175713	3,5064128350837e-05	0,00115349146281562	"WBGene00021623"	"Y47D7A.11"	"Y47D7A.11"	"Y47D7A.d, Y47D7A.d, CELE_Y47D7A.11"	"CE35807|HMMPANTHER:PTHR35575:SF1|HMMPANTHER:PTHR35575"	"Q9N3U4"	"Q9N3U4"	"N.A."	"N.A."	"N.A."	"N.A."	"Is enriched in body wall muscle cell\; male-specific anatomical entity\; and in male based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including rrf-3\; pmk-1\; and daf-1 based on RNA-seq and microarray studies. Is affected by eleven chemicals including hydrogen sulfide\; multi-walled carbon nanotube\; and allantoin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: ."
"CELE_Y6G8.16"	12,4041261682006	6,97429874228339	1,94680361847601	3,58243567871679	0,000340405448869734	0,00648100386352352	"WBGene00194801"	"Y6G8.16"	"Y6G8.16"	"CELE_Y6G8.16"	"CE44224|PFAM:PF00024|SUPERFAMILY:SSF57414|INTERPRO:IPR003609"	"D0VWP5"	"D0VWP5"	"N.A."	"N.A."	"N.A."	"N.A."	"Is enriched in male based on RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and eat-2 based on microarray and RNA-seq studies. Is affected by eight chemicals including Alovudine\; stavudine\; and Psoralens based on RNA-seq studies. Is predicted to encode a protein with the following domains: PAN domain and PAN\/Apple domain."
"CELE_Y47D7A.2"	11,7574588451764	6,89696707982952	1,97459577752496	3,49285011055502	0,000477894673170822	0,00828900071051461	"WBGene00021616"	"Y47D7A.2"	"Y47D7A.2"	"Y47D7A.l, Y47D7A.l, CELE_Y47D7A.2"	"CE26109|HMMPANTHER:PTHR35575:SF1|HMMPANTHER:PTHR35575"	"Q9N3V0"	"Q9N3V0"	"N.A."	"N.A."	"N.A."	"N.A."	"Is enriched in DA neuron\; VA neuron\; body wall muscle cell\; hypodermis\; and in male based on tiling array and RNA-seq studies. Is affected by drh-3\; nhl-2\; and rrf-3 based on RNA-seq studies. Is affected by cadmium and nitroguanidine based on microarray studies. Is predicted to encode a protein with the following domain: ."
"CELE_T18D3.14"	10,6690813234058	6,75900337457092	1,43083508671801	4,72381718711865	2,3145849942328e-06	0,000132270805278867	"WBGene00202278"	"T18D3.14"	"T18D3.14"	"CELE_T18D3.14"	"N.A."	"N.A."	"N.A."	"N.A."	"N.A."	"N.A."	"N.A."	"Is affected by adr-1 based on RNA-seq studies."
"CELE_T24A6.9"	10,0576273699132	6,67373420176459	1,38848202994337	4,80649663289973	1,53598068777134e-06	9,77573341404836e-05	"WBGene00003683"	"nhr-93"	"T24A6.9"	"CELE_T24A6.9"	"CE51490|HMMPANTHER:PTHR24083:SF81|HMMPANTHER:PTHR24083|PFSCAN:PS51843|PFSCAN:PS51030|PRINTS:PR00047|SMART:SM00399|SMART:SM00430|PFAM:PF00104|PFAM:PF00105|SUPERFAMILY:SSF48508|SUPERFAMILY:SSF57716|INTERPRO:IPR000536|INTERPRO:IPR001628|INTERPRO:IPR013088|INTERPRO:IPR035500, CE51242|HMMPANTHER:PTHR24083|HMMPANTHER:PTHR24083:SF81|PFSCAN:PS51843|PFSCAN:PS51030|PRINTS:PR00047|SMART:SM00399|SMART:SM00430|PFAM:PF00104|PFAM:PF00105|SUPERFAMILY:SSF57716|SUPERFAMILY:SSF48508|INTERPRO:IPR000536|INTERPRO:IPR001628|INTERPRO:IPR013088|INTERPRO:IPR035500, CE51392|HMMPANTHER:PTHR24083:SF81|HMMPANTHER:PTHR24083|PFSCAN:PS51843|PFSCAN:PS51030|PRINTS:PR00047|SMART:SM00399|SMART:SM00430|PFAM:PF00105|PFAM:PF00104|SUPERFAMILY:SSF57716|SUPERFAMILY:SSF48508|INTERPRO:IPR000536|INTERPRO:IPR001628|INTERPRO:IPR013088|INTERPRO:IPR035500"	"A0A131MDD8, A0A131MCM3, A0A131MBQ7"	"A0A131MBQ7"	"N.A."	"N.A."	"anatomical structure development, cell differentiation, DNA binding, DNA-binding transcription factor activity, intracellular receptor signaling pathway, metal ion binding, nuclear receptor activity, nucleus, regulation of transcription by RNA polymerase II, regulation of transcription, DNA-templated, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, zinc ion binding"	"N.A."	"Is predicted to enable RNA polymerase II cis-regulatory region sequence-specific DNA binding activity and nuclear receptor activity."
